1635202275.851201 client started (28754): version 3.2a, socket /private/tmp/tmux-36154/default, protocol 8
1635202275.851240 on Darwin 19.6.0 Darwin Kernel Version 19.6.0: Thu Sep 16 20:58:47 PDT 2021; root:xnu-6153.141.40.1~1/RELEASE_X86_64
1635202275.851259 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1635202275.851300 flags are 0x10010000
1635202275.851312 socket is /private/tmp/tmux-36154/default
1635202275.851332 trying connect
1635202275.851449 add peer 0x7fcb40048000: 6 (0x0)
1635202275.856026 sending message 100 to peer 0x7fcb40048000 (4 bytes)
1635202275.856049 sending message 111 to peer 0x7fcb40048000 (8 bytes)
1635202275.856058 sending message 101 to peer 0x7fcb40048000 (16 bytes)
1635202275.856065 sending message 109 to peer 0x7fcb40048000 (4 bytes)
1635202275.856071 sending message 102 to peer 0x7fcb40048000 (13 bytes)
1635202275.856078 sending message 108 to peer 0x7fcb40048000 (41 bytes)
1635202275.856084 sending message 112 to peer 0x7fcb40048000 (70 bytes)
1635202275.856090 sending message 112 to peer 0x7fcb40048000 (5 bytes)
1635202275.856097 sending message 112 to peer 0x7fcb40048000 (5 bytes)
1635202275.856103 sending message 112 to peer 0x7fcb40048000 (6 bytes)
1635202275.856109 sending message 112 to peer 0x7fcb40048000 (6 bytes)
1635202275.856116 sending message 112 to peer 0x7fcb40048000 (11 bytes)
1635202275.856122 sending message 112 to peer 0x7fcb40048000 (10 bytes)
1635202275.856129 sending message 112 to peer 0x7fcb40048000 (13 bytes)
1635202275.856135 sending message 112 to peer 0x7fcb40048000 (13 bytes)
1635202275.856141 sending message 112 to peer 0x7fcb40048000 (18 bytes)
1635202275.856148 sending message 112 to peer 0x7fcb40048000 (11 bytes)
1635202275.856154 sending message 112 to peer 0x7fcb40048000 (21 bytes)
1635202275.856160 sending message 112 to peer 0x7fcb40048000 (13 bytes)
1635202275.856166 sending message 112 to peer 0x7fcb40048000 (7 bytes)
1635202275.856173 sending message 112 to peer 0x7fcb40048000 (13 bytes)
1635202275.856179 sending message 112 to peer 0x7fcb40048000 (7 bytes)
1635202275.856185 sending message 112 to peer 0x7fcb40048000 (13 bytes)
1635202275.856192 sending message 112 to peer 0x7fcb40048000 (9 bytes)
1635202275.856198 sending message 112 to peer 0x7fcb40048000 (21 bytes)
1635202275.856204 sending message 112 to peer 0x7fcb40048000 (13 bytes)
1635202275.856210 sending message 112 to peer 0x7fcb40048000 (8 bytes)
1635202275.856217 sending message 112 to peer 0x7fcb40048000 (12 bytes)
1635202275.856223 sending message 112 to peer 0x7fcb40048000 (13 bytes)
1635202275.856229 sending message 112 to peer 0x7fcb40048000 (9 bytes)
1635202275.856235 sending message 112 to peer 0x7fcb40048000 (9 bytes)
1635202275.856242 sending message 112 to peer 0x7fcb40048000 (12 bytes)
1635202275.856248 sending message 112 to peer 0x7fcb40048000 (8 bytes)
1635202275.856254 sending message 112 to peer 0x7fcb40048000 (7 bytes)
1635202275.856260 sending message 112 to peer 0x7fcb40048000 (7 bytes)
1635202275.856267 sending message 112 to peer 0x7fcb40048000 (9 bytes)
1635202275.856273 sending message 112 to peer 0x7fcb40048000 (13 bytes)
1635202275.856279 sending message 112 to peer 0x7fcb40048000 (9 bytes)
1635202275.856285 sending message 112 to peer 0x7fcb40048000 (15 bytes)
1635202275.856292 sending message 112 to peer 0x7fcb40048000 (13 bytes)
1635202275.856298 sending message 112 to peer 0x7fcb40048000 (12 bytes)
1635202275.856304 sending message 112 to peer 0x7fcb40048000 (8 bytes)
1635202275.856311 sending message 112 to peer 0x7fcb40048000 (14 bytes)
1635202275.856317 sending message 112 to peer 0x7fcb40048000 (9 bytes)
1635202275.856323 sending message 112 to peer 0x7fcb40048000 (10 bytes)
1635202275.856329 sending message 112 to peer 0x7fcb40048000 (10 bytes)
1635202275.856335 sending message 112 to peer 0x7fcb40048000 (10 bytes)
1635202275.856342 sending message 112 to peer 0x7fcb40048000 (10 bytes)
1635202275.856348 sending message 112 to peer 0x7fcb40048000 (11 bytes)
1635202275.856354 sending message 112 to peer 0x7fcb40048000 (10 bytes)
1635202275.856360 sending message 112 to peer 0x7fcb40048000 (8 bytes)
1635202275.856377 sending message 112 to peer 0x7fcb40048000 (11 bytes)
1635202275.856381 sending message 112 to peer 0x7fcb40048000 (11 bytes)
1635202275.856387 sending message 112 to peer 0x7fcb40048000 (11 bytes)
1635202275.856392 sending message 112 to peer 0x7fcb40048000 (8 bytes)
1635202275.856396 sending message 112 to peer 0x7fcb40048000 (8 bytes)
1635202275.856400 sending message 112 to peer 0x7fcb40048000 (8 bytes)
1635202275.856404 sending message 112 to peer 0x7fcb40048000 (10 bytes)
1635202275.856408 sending message 112 to peer 0x7fcb40048000 (10 bytes)
1635202275.856412 sending message 112 to peer 0x7fcb40048000 (10 bytes)
1635202275.856416 sending message 112 to peer 0x7fcb40048000 (10 bytes)
1635202275.856420 sending message 112 to peer 0x7fcb40048000 (10 bytes)
1635202275.856424 sending message 112 to peer 0x7fcb40048000 (11 bytes)
1635202275.856428 sending message 112 to peer 0x7fcb40048000 (11 bytes)
1635202275.856432 sending message 112 to peer 0x7fcb40048000 (10 bytes)
1635202275.856436 sending message 112 to peer 0x7fcb40048000 (9 bytes)
1635202275.856440 sending message 112 to peer 0x7fcb40048000 (9 bytes)
1635202275.856444 sending message 112 to peer 0x7fcb40048000 (12 bytes)
1635202275.856448 sending message 112 to peer 0x7fcb40048000 (9 bytes)
1635202275.856452 sending message 112 to peer 0x7fcb40048000 (6 bytes)
1635202275.856456 sending message 112 to peer 0x7fcb40048000 (13 bytes)
1635202275.856460 sending message 112 to peer 0x7fcb40048000 (8 bytes)
1635202275.856464 sending message 112 to peer 0x7fcb40048000 (15 bytes)
1635202275.856468 sending message 112 to peer 0x7fcb40048000 (13 bytes)
1635202275.856472 sending message 112 to peer 0x7fcb40048000 (70 bytes)
1635202275.856477 sending message 112 to peer 0x7fcb40048000 (69 bytes)
1635202275.856481 sending message 112 to peer 0x7fcb40048000 (10 bytes)
1635202275.856485 sending message 112 to peer 0x7fcb40048000 (8 bytes)
1635202275.856489 sending message 112 to peer 0x7fcb40048000 (15 bytes)
1635202275.856493 sending message 112 to peer 0x7fcb40048000 (13 bytes)
1635202275.856497 sending message 112 to peer 0x7fcb40048000 (10 bytes)
1635202275.856501 sending message 112 to peer 0x7fcb40048000 (10 bytes)
1635202275.856505 sending message 112 to peer 0x7fcb40048000 (5 bytes)
1635202275.856509 sending message 112 to peer 0x7fcb40048000 (15 bytes)
1635202275.856520 sending message 104 to peer 0x7fcb40048000 (0 bytes)
1635202275.856525 sending message 110 to peer 0x7fcb40048000 (0 bytes)
1635202275.856530 sending message 107 to peer 0x7fcb40048000 (4 bytes)
1635202275.856534 sending message 105 to peer 0x7fcb40048000 (16 bytes)
1635202275.856538 sending message 105 to peer 0x7fcb40048000 (69 bytes)
1635202275.856542 sending message 105 to peer 0x7fcb40048000 (14 bytes)
1635202275.856546 sending message 105 to peer 0x7fcb40048000 (20 bytes)
1635202275.856550 sending message 105 to peer 0x7fcb40048000 (43 bytes)
1635202275.856554 sending message 105 to peer 0x7fcb40048000 (82 bytes)
1635202275.856560 sending message 105 to peer 0x7fcb40048000 (17 bytes)
1635202275.856564 sending message 105 to peer 0x7fcb40048000 (12 bytes)
1635202275.856568 sending message 105 to peer 0x7fcb40048000 (52 bytes)
1635202275.856572 sending message 105 to peer 0x7fcb40048000 (47 bytes)
1635202275.856576 sending message 105 to peer 0x7fcb40048000 (125 bytes)
1635202275.856581 sending message 105 to peer 0x7fcb40048000 (61 bytes)
1635202275.856585 sending message 105 to peer 0x7fcb40048000 (29 bytes)
1635202275.856589 sending message 105 to peer 0x7fcb40048000 (26 bytes)
1635202275.856593 sending message 105 to peer 0x7fcb40048000 (38 bytes)
1635202275.856597 sending message 105 to peer 0x7fcb40048000 (19 bytes)
1635202275.856601 sending message 105 to peer 0x7fcb40048000 (21 bytes)
1635202275.856605 sending message 105 to peer 0x7fcb40048000 (45 bytes)
1635202275.856609 sending message 105 to peer 0x7fcb40048000 (22 bytes)
1635202275.856613 sending message 105 to peer 0x7fcb40048000 (61 bytes)
1635202275.856617 sending message 105 to peer 0x7fcb40048000 (68 bytes)
1635202275.856630 sending message 105 to peer 0x7fcb40048000 (103 bytes)
1635202275.856635 sending message 105 to peer 0x7fcb40048000 (17 bytes)
1635202275.856639 sending message 105 to peer 0x7fcb40048000 (19 bytes)
1635202275.856643 sending message 105 to peer 0x7fcb40048000 (26 bytes)
1635202275.856647 sending message 105 to peer 0x7fcb40048000 (8 bytes)
1635202275.856651 sending message 105 to peer 0x7fcb40048000 (17 bytes)
1635202275.856655 sending message 105 to peer 0x7fcb40048000 (32 bytes)
1635202275.856659 sending message 105 to peer 0x7fcb40048000 (36 bytes)
1635202275.856663 sending message 105 to peer 0x7fcb40048000 (10 bytes)
1635202275.856667 sending message 105 to peer 0x7fcb40048000 (12 bytes)
1635202275.856671 sending message 105 to peer 0x7fcb40048000 (11 bytes)
1635202275.856675 sending message 105 to peer 0x7fcb40048000 (767 bytes)
1635202275.856686 sending message 105 to peer 0x7fcb40048000 (28 bytes)
1635202275.856691 sending message 105 to peer 0x7fcb40048000 (45 bytes)
1635202275.856695 sending message 105 to peer 0x7fcb40048000 (15 bytes)
1635202275.856699 sending message 105 to peer 0x7fcb40048000 (16 bytes)
1635202275.856703 sending message 105 to peer 0x7fcb40048000 (19 bytes)
1635202275.856707 sending message 105 to peer 0x7fcb40048000 (65 bytes)
1635202275.856711 sending message 105 to peer 0x7fcb40048000 (42 bytes)
1635202275.856715 sending message 105 to peer 0x7fcb40048000 (15 bytes)
1635202275.856719 sending message 105 to peer 0x7fcb40048000 (8 bytes)
1635202275.856723 sending message 105 to peer 0x7fcb40048000 (89 bytes)
1635202275.856727 sending message 105 to peer 0x7fcb40048000 (18 bytes)
1635202275.856731 sending message 105 to peer 0x7fcb40048000 (91 bytes)
1635202275.856735 sending message 105 to peer 0x7fcb40048000 (21 bytes)
1635202275.856739 sending message 105 to peer 0x7fcb40048000 (18 bytes)
1635202275.856743 sending message 105 to peer 0x7fcb40048000 (26 bytes)
1635202275.856747 sending message 105 to peer 0x7fcb40048000 (60 bytes)
1635202275.856751 sending message 105 to peer 0x7fcb40048000 (57 bytes)
1635202275.856755 sending message 105 to peer 0x7fcb40048000 (44 bytes)
1635202275.856759 sending message 105 to peer 0x7fcb40048000 (55 bytes)
1635202275.856763 sending message 105 to peer 0x7fcb40048000 (13 bytes)
1635202275.856767 sending message 105 to peer 0x7fcb40048000 (56 bytes)
1635202275.856771 sending message 105 to peer 0x7fcb40048000 (14 bytes)
1635202275.856775 sending message 105 to peer 0x7fcb40048000 (12 bytes)
1635202275.856779 sending message 105 to peer 0x7fcb40048000 (14 bytes)
1635202275.856783 sending message 105 to peer 0x7fcb40048000 (19 bytes)
1635202275.856788 sending message 105 to peer 0x7fcb40048000 (31 bytes)
1635202275.856791 sending message 105 to peer 0x7fcb40048000 (43 bytes)
1635202275.856796 sending message 105 to peer 0x7fcb40048000 (30 bytes)
1635202275.856800 sending message 105 to peer 0x7fcb40048000 (22 bytes)
1635202275.856804 sending message 105 to peer 0x7fcb40048000 (79 bytes)
1635202275.856808 sending message 105 to peer 0x7fcb40048000 (32 bytes)
1635202275.856812 sending message 105 to peer 0x7fcb40048000 (22 bytes)
1635202275.856816 sending message 106 to peer 0x7fcb40048000 (0 bytes)
1635202275.856828 sending message 200 to peer 0x7fcb40048000 (4 bytes)
1635202275.856833 client loop enter
1635202275.857139 peer 0x7fcb40048000 message 303
1635202275.857155 open write file 2 -
1635202275.857176 sending message 305 to peer 0x7fcb40048000 (8 bytes)
1635202275.857201 write check file 2
1635202275.857265 peer 0x7fcb40048000 message 304
1635202275.857270 write 58 to file 2
1635202275.857279 peer 0x7fcb40048000 message 203
1635202275.857284 file 2 58 bytes left
1635202275.857309 write check file 2
1635202275.857315 client loop exit
