1678602747.529794 client started (45384): version 3.3a, socket /private/tmp/tmux-36154/default, protocol 8
1678602747.529848 on Darwin 22.3.0 Darwin Kernel Version 22.3.0: Mon Jan 30 20:42:11 PST 2023; root:xnu-8792.81.3~2/RELEASE_X86_64
1678602747.529873 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1678602747.529913 flags are 0x10010000
1678602747.529923 socket is /private/tmp/tmux-36154/default
1678602747.529938 trying connect
1678602747.530057 add peer 0x7fc280008000: 6 (0x0)
1678602747.532970 sending message 100 to peer 0x7fc280008000 (4 bytes)
1678602747.532997 sending message 111 to peer 0x7fc280008000 (8 bytes)
1678602747.533009 sending message 101 to peer 0x7fc280008000 (16 bytes)
1678602747.533018 sending message 109 to peer 0x7fc280008000 (4 bytes)
1678602747.533027 sending message 102 to peer 0x7fc280008000 (13 bytes)
1678602747.533037 sending message 108 to peer 0x7fc280008000 (33 bytes)
1678602747.533045 sending message 112 to peer 0x7fc280008000 (70 bytes)
1678602747.533054 sending message 112 to peer 0x7fc280008000 (5 bytes)
1678602747.533062 sending message 112 to peer 0x7fc280008000 (5 bytes)
1678602747.533071 sending message 112 to peer 0x7fc280008000 (6 bytes)
1678602747.533079 sending message 112 to peer 0x7fc280008000 (6 bytes)
1678602747.533088 sending message 112 to peer 0x7fc280008000 (11 bytes)
1678602747.533097 sending message 112 to peer 0x7fc280008000 (10 bytes)
1678602747.533105 sending message 112 to peer 0x7fc280008000 (13 bytes)
1678602747.533114 sending message 112 to peer 0x7fc280008000 (13 bytes)
1678602747.533122 sending message 112 to peer 0x7fc280008000 (18 bytes)
1678602747.533131 sending message 112 to peer 0x7fc280008000 (11 bytes)
1678602747.533140 sending message 112 to peer 0x7fc280008000 (21 bytes)
1678602747.533148 sending message 112 to peer 0x7fc280008000 (13 bytes)
1678602747.533157 sending message 112 to peer 0x7fc280008000 (7 bytes)
1678602747.533165 sending message 112 to peer 0x7fc280008000 (13 bytes)
1678602747.533173 sending message 112 to peer 0x7fc280008000 (7 bytes)
1678602747.533182 sending message 112 to peer 0x7fc280008000 (13 bytes)
1678602747.533191 sending message 112 to peer 0x7fc280008000 (9 bytes)
1678602747.533199 sending message 112 to peer 0x7fc280008000 (21 bytes)
1678602747.533208 sending message 112 to peer 0x7fc280008000 (13 bytes)
1678602747.533218 sending message 112 to peer 0x7fc280008000 (8 bytes)
1678602747.533226 sending message 112 to peer 0x7fc280008000 (12 bytes)
1678602747.533235 sending message 112 to peer 0x7fc280008000 (13 bytes)
1678602747.533243 sending message 112 to peer 0x7fc280008000 (9 bytes)
1678602747.533251 sending message 112 to peer 0x7fc280008000 (9 bytes)
1678602747.533260 sending message 112 to peer 0x7fc280008000 (12 bytes)
1678602747.533268 sending message 112 to peer 0x7fc280008000 (8 bytes)
1678602747.533276 sending message 112 to peer 0x7fc280008000 (7 bytes)
1678602747.533284 sending message 112 to peer 0x7fc280008000 (7 bytes)
1678602747.533293 sending message 112 to peer 0x7fc280008000 (9 bytes)
1678602747.533301 sending message 112 to peer 0x7fc280008000 (13 bytes)
1678602747.533309 sending message 112 to peer 0x7fc280008000 (9 bytes)
1678602747.533318 sending message 112 to peer 0x7fc280008000 (15 bytes)
1678602747.533326 sending message 112 to peer 0x7fc280008000 (13 bytes)
1678602747.533334 sending message 112 to peer 0x7fc280008000 (12 bytes)
1678602747.533342 sending message 112 to peer 0x7fc280008000 (8 bytes)
1678602747.533351 sending message 112 to peer 0x7fc280008000 (14 bytes)
1678602747.533359 sending message 112 to peer 0x7fc280008000 (9 bytes)
1678602747.533367 sending message 112 to peer 0x7fc280008000 (10 bytes)
1678602747.533375 sending message 112 to peer 0x7fc280008000 (10 bytes)
1678602747.533384 sending message 112 to peer 0x7fc280008000 (10 bytes)
1678602747.533392 sending message 112 to peer 0x7fc280008000 (10 bytes)
1678602747.533401 sending message 112 to peer 0x7fc280008000 (11 bytes)
1678602747.533410 sending message 112 to peer 0x7fc280008000 (10 bytes)
1678602747.533418 sending message 112 to peer 0x7fc280008000 (8 bytes)
1678602747.533440 sending message 112 to peer 0x7fc280008000 (11 bytes)
1678602747.533447 sending message 112 to peer 0x7fc280008000 (11 bytes)
1678602747.533454 sending message 112 to peer 0x7fc280008000 (11 bytes)
1678602747.533460 sending message 112 to peer 0x7fc280008000 (8 bytes)
1678602747.533466 sending message 112 to peer 0x7fc280008000 (8 bytes)
1678602747.533472 sending message 112 to peer 0x7fc280008000 (8 bytes)
1678602747.533479 sending message 112 to peer 0x7fc280008000 (10 bytes)
1678602747.533485 sending message 112 to peer 0x7fc280008000 (10 bytes)
1678602747.533491 sending message 112 to peer 0x7fc280008000 (10 bytes)
1678602747.533497 sending message 112 to peer 0x7fc280008000 (10 bytes)
1678602747.533504 sending message 112 to peer 0x7fc280008000 (10 bytes)
1678602747.533510 sending message 112 to peer 0x7fc280008000 (11 bytes)
1678602747.533520 sending message 112 to peer 0x7fc280008000 (11 bytes)
1678602747.533527 sending message 112 to peer 0x7fc280008000 (10 bytes)
1678602747.533533 sending message 112 to peer 0x7fc280008000 (9 bytes)
1678602747.533539 sending message 112 to peer 0x7fc280008000 (9 bytes)
1678602747.533545 sending message 112 to peer 0x7fc280008000 (12 bytes)
1678602747.533551 sending message 112 to peer 0x7fc280008000 (9 bytes)
1678602747.533557 sending message 112 to peer 0x7fc280008000 (6 bytes)
1678602747.533563 sending message 112 to peer 0x7fc280008000 (13 bytes)
1678602747.533569 sending message 112 to peer 0x7fc280008000 (8 bytes)
